sample	microbial objects
71	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-9"", ""Acinetobacter_junii-13"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-12"", ""Cloacibacterium-12"", ""Pseudomonas-7"", ""Comamonas_denitrificans-7"", ""Brevibacterium-12"", ""Vulcaniibacterium-10"", ""Novosphingobium-10"", ""Chryseobacterium-9"", ""Azonexus-10"", ""Reyranella-8"", ""Acinetobacter_tjernbergiae-13"", ""Bergeyella-8"", ""Moraxella-9"", ""Gemmata-10"", ""Methyloversatilis-9""}"
72	"{""Propionibacterium_acnes-13"", ""Lactobacillus-11"", ""Sphingomonas-7"", ""Prevotella-9"", ""Acidovorax-8"", ""Ochrobactrum-11"", ""Cellulosimicrobium-13"", ""Bordetella-11"", ""Bosea-8"", ""Pseudoxanthomonas-10"", ""Brevibacterium-12"", ""Stenotrophomonas-10"", ""Delftia-14"", ""Brachybacterium-9"", ""Paracraurococcus-8"", ""Pigmentiphaga-9"", ""Achromobacter-12"", ""Bradyrhizobium-9""}"
73	"{""Propionibacterium_acnes-13"", ""Herbaspirillum-9"", ""Corynebacterium-8"", ""Vulcaniibacterium-10"", ""Staphylococcus-9"", ""Novosphingobium-9"", ""Blastomonas-8"", ""Enhydrobacter-8"", ""Methylobacterium-11"", ""Moraxella-12"", ""Noviherbaspirillum-12"", ""Virgibacillus-14"", ""Scopulibacillus-9"", ""Snodgrassella-13"", ""Methyloversatilis-12""}"
74	"{""Propionibacterium_acnes-14"", ""Sphingomonas-10"", ""Acinetobacter_junii-11"", ""Comamonas_testosteroni-10"", ""Methylobacter-10"", ""Microlunatus-12"", ""Janthinobacterium-14"", ""Acinetobacter_tjernbergiae-12"", ""Moraxella-12"", ""Meiothermus-9"", ""Nitrolancea-9"", ""Snodgrassella-8""}"
75	"{""Acidovorax-8"", ""Variovorax-14"", ""Pseudomonas-9"", ""Dietzia-11"", ""Pedobacter-13"", ""Rhizobium-11"", ""Comamonas_nitrativorans-11"", ""Bacillus-10"", ""Klebsiella-9"", ""Shigella-8"", ""Methylobacterium-13"", ""Bergeyella-10"", ""Cellulomonas-8"", ""Rhodococcus-11"", ""Acinetobacter_guillouiae-11""}"
76	"{""Propionibacterium_acnes-12"", ""Sphingomonas-11"", ""Variovorax-14"", ""Aciditerrimonas-11"", ""Romboutsia-12"", ""Corynebacterium-10"", ""Staphylococcus-8"", ""Methylobacterium-12"", ""Rhodococcus-9"", ""Achromobacter-13"", ""Noviherbaspirillum-13"", ""Finegoldia-10"", ""Spirosoma-9""}"
77	"{""Propionibacterium_acnes-11"", ""Anaerococcus-10"", ""Sphingobium-8"", ""Brevundimonas-12"", ""Lampropedia-12"", ""Bacillus-12"", ""Peredibacter-10"", ""Methylobacterium-14"", ""Moraxella-9"", ""Rhodococcus-10"", ""Noviherbaspirillum-12"", ""Devosia-12""}"
78	"{""Propionibacterium_acnes-8"", ""Acinetobacter_junii-13"", ""Acidovorax-14"", ""Blastomonas-8"", ""Actinomyces-9"", ""Acinetobacter_tjernbergiae-12"", ""Delftia-12""}"
79	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-11"", ""Veillonella-10"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-11"", ""Pseudomonas-8"", ""Flavobacterium-7"", ""Streptococcus-8"", ""Tabrizicola-9"", ""Acinetobacter_tjernbergiae-14"", ""Moraxella-7""}"
80	"{""Comamonas_jiangduensis-11"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Zoogloea-8"", ""Comamonas_testosteroni-9"", ""Cloacibacterium-10"", ""Pseudomonas-7"", ""Bosea-8"", ""Flavobacterium-7"", ""Streptococcus-9"", ""Acinetobacter_tjernbergiae-14""}"
